Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
LINP1,HNF4A,ENSG00000223784,ENSG00000101076,Cancer,Leukemia,negatively-E,upregulation,lncRNA,TF,HNF4A,LINP1,LINP1,HNF4A
TP53TG1,KRAS,ENSG00000182165,ENSG00000133703,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,KRAS,TP53TG1,TP53TG1,KRAS
H19,STAT3,ENSG00000130600,ENSG00000168610,Cancer,Esophageal cancer,negatively-E,upregulation,lncRNA,TF,STAT3,H19,H19,STAT3
H19,EZH2,ENSG00000130600,ENSG00000106462,Cancer,Esophageal cancer,negatively-E,upregulation,lncRNA,PCG,EZH2,H19,H19,EZH2
let-7c,H19,ENSG00000199030,ENSG00000130600,Cancer,Esophageal cancer,negatively-F,upregulation,miRNA,lncRNA,H19,let-7c,let-7c,H19
LINC00173,Etk,ENSG00000196668,ENSG00000120899,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,PTK2B,LINC00173,LINC00173,Etk
LINC00173,GSKIP,ENSG00000196668,ENSG00000100744,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,GSKIP,LINC00173,LINC00173,GSKIP
LINC00173,NDRG1,ENSG00000196668,ENSG00000104419,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,NDRG1,LINC00173,LINC00173,NDRG1
HIF1A,LINC00511,ENSG00000100644,ENSG00000227036,Cancer,Colorectal cancer,positively-E,upregulation,TF,lncRNA,LINC00511,HIF1A,HIF1A,LINC00511
LINC00511,HIF1A,ENSG00000227036,ENSG00000100644,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,HIF1A,LINC00511,LINC00511,HIF1A
CACNA1G-AS1,TP53,ENSG00000250107,ENSG00000141510,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,TF,TP53,CACNA1G-AS1,CACNA1G-AS1,TP53
CCAT1,MAPK1,ENSG00000247844,ENSG00000100030,Cancer,Leukemia,positively-E,upregulation,lncRNA,PCG,MAPK1,CCAT1,CCAT1,MAPK1
CCAT1,MYC,ENSG00000247844,ENSG00000136997,Cancer,Leukemia,positively-E,upregulation,lncRNA,TF,MYC,CCAT1,CCAT1,MYC
FOXP4-AS1,KDM1A,ENSG00000234753,ENSG00000004487,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,KDM1A,FOXP4-AS1,FOXP4-AS1,KDM1A
FOXP4-AS1,EZH2,ENSG00000234753,ENSG00000106462,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,EZH2,FOXP4-AS1,FOXP4-AS1,EZH2
LUCAT1,CDKN1A,ENSG00000248323,ENSG00000124762,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,LUCAT1,LUCAT1,CDKN1A
LUCAT1,CDKN1C,ENSG00000248323,ENSG00000129757,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1C,LUCAT1,LUCAT1,CDKN1C
LUCAT1,TP53,ENSG00000248323,ENSG00000141510,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,TF,TP53,LUCAT1,LUCAT1,TP53
LUCAT1,BAX,ENSG00000248323,ENSG00000087088,Cancer,Thyroid cancer,negatively-E,upregulation,lncRNA,PCG,BAX,LUCAT1,LUCAT1,BAX
LUCAT1,EZH2,ENSG00000248323,ENSG00000106462,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,PCG,EZH2,LUCAT1,LUCAT1,EZH2
LUCAT1,HDAC1,ENSG00000248323,ENSG00000116478,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,PCG,HDAC1,LUCAT1,LUCAT1,HDAC1
LUCAT1,DNMT1,ENSG00000248323,ENSG00000130816,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,PCG,DNMT1,LUCAT1,LUCAT1,DNMT1
LUCAT1,NRF2,ENSG00000248323,ENSG00000154727,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,TF,NRF2,LUCAT1,LUCAT1,NRF2
NEAT1,CCNE1,ENSG00000245532,ENSG00000105173,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,CCNE1,NEAT1,NEAT1,CCNE1
NEAT1,CCND1,ENSG00000245532,ENSG00000110092,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,CCND1,NEAT1,NEAT1,CCND1
NEAT1,CASP3,ENSG00000245532,ENSG00000164305,Cancer,Breast cancer,negatively-E,upregulation,lncRNA,PCG,CASP3,NEAT1,NEAT1,CASP3
NEAT1,ATP7A,ENSG00000245532,ENSG00000165240,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,ATP7A,NEAT1,NEAT1,ATP7A
NEAT1,ATP8B,ENSG00000245532,ENSG00000081923,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,ATP8B1,NEAT1,NEAT1,ATP8B
NEAT1,SOX2,ENSG00000245532,ENSG00000181449,Cancer,Breast cancer,positively-E,upregulation,lncRNA,TF,SOX2,NEAT1,NEAT1,SOX2
CREB1,LEF1-AS1,ENSG00000118260,ENSG00000232021,Cancer,Colorectal cancer,positively-E,upregulation,TF,lncRNA,LEF1-AS1,CREB1,CREB1,LEF1-AS1
LEF1-AS1,DIAPH1,ENSG00000232021,ENSG00000131504,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,DIAPH1,LEF1-AS1,LEF1-AS1,DIAPH1
ACTA2-AS1,GRB2,ENSG00000180139,ENSG00000177885,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,GRB2,ACTA2-AS1,ACTA2-AS1,GRB2
LAMTOR5,DLEU2,ENSG00000134248,ENSG00000231607,Cancer,Liver cancer,positively-E,upregulation,PCG,lncRNA,DLEU2,LAMTOR5,LAMTOR5,DLEU2
DLEU2,EZH2,ENSG00000231607,ENSG00000106462,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,EZH2,DLEU2,DLEU2,EZH2
CCAT1,HOXA1,ENSG00000247844,ENSG00000105991,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,HOXA1,CCAT1,CCAT1,HOXA1
NRAD1,SOX9,ENSG00000233725,ENSG00000125398,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,TF,SOX9,NRAD1,NRAD1,SOX9
LNCSRLR,IL6,ENSG00000240032,ENSG00000136244,Syndrome,Polycystic ovary syndrome,positively-E,upregulation,lncRNA,PCG,IL6,LNCSRLR,LNCSRLR,IL6
LINC00461,CCND1,ENSG00000245526,ENSG00000110092,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,CCND1,LINC00461,LINC00461,CCND1
ELFN1-AS1,TRIM44,ENSG00000236081,ENSG00000166326,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TRIM44,ELFN1-AS1,ELFN1-AS1,TRIM44
LINC00958,HDGF,ENSG00000251381,ENSG00000143321,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,HDGF,LINC00958,LINC00958,HDGF
SCAT1,CAV1,ENSG00000267123,ENSG00000105974,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,PCG,CAV1,SCAT1,SCAT1,CAV1
LOXL1-AS1,MYBL2,ENSG00000261801,ENSG00000101057,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,MYBL2,LOXL1-AS1,LOXL1-AS1,MYBL2
DLX6-AS1,CDK4,ENSG00000231764,ENSG00000135446,Cancer,Sarcoma,positively-E,upregulation,lncRNA,PCG,CDK4,DLX6-AS1,DLX6-AS1,CDK4
MIR205HG,KRT17,ENSG00000230937,ENSG00000128422,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,KRT17,MIR205HG,MIR205HG,KRT17
MIR205HG,SRSF1,ENSG00000230937,ENSG00000136450,Cancer,Cervical cancer,negatively-F,upregulation,lncRNA,PCG,SRSF1,MIR205HG,MIR205HG,SRSF1
LINC01559,YY1AP1,ENSG00000180861,ENSG00000163374,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,YY1AP1,LINC01559,LINC01559,YY1AP1
SNHG22,LGALS1,ENSG00000267322,ENSG00000100097,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,LGALS1,SNHG22,SNHG22,LGALS1
LINC00461,SALL1,ENSG00000245526,ENSG00000103449,Cancer,Kidney cancer,negatively-E,upregulation,lncRNA,TF,SALL1,LINC00461,LINC00461,SALL1
LINC00461,METAP1,ENSG00000245526,ENSG00000164024,Cancer,Kidney cancer,negatively-E,upregulation,lncRNA,PCG,METAP1,LINC00461,LINC00461,METAP1
LINC00461,DCAF11,ENSG00000245526,ENSG00000100897,Cancer,Kidney cancer,negatively-E,upregulation,lncRNA,PCG,DCAF11,LINC00461,LINC00461,DCAF11
DRAIC,SATB1,ENSG00000245750,ENSG00000182568,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,TF,SATB1,DRAIC,DRAIC,SATB1
EPAS1,NLUCAT1,ENSG00000116016,,Cancer,Lung cancer,positively-E,upregulation,PCG,lncRNA,NLUCAT1,EPAS1,EPAS1,NLUCAT1
NFKB1,NLUCAT1,ENSG00000109320,,Cancer,Lung cancer,positively-E,upregulation,TF,lncRNA,NLUCAT1,NFKB1,NFKB1,NLUCAT1
NRF2,NLUCAT1,ENSG00000154727,,Cancer,Lung cancer,positively-E,upregulation,TF,lncRNA,NLUCAT1,NRF2,NRF2,NLUCAT1
FOXD2-AS1,TMEM9,ENSG00000237424,ENSG00000116857,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,TMEM9,FOXD2-AS1,FOXD2-AS1,TMEM9
LINC-PINT,PTCH1,ENSG00000231721,ENSG00000185920,Cancer,Larynx cancer,positively-E,downregulation,lncRNA,PCG,PTCH1,LINC-PINT,LINC-PINT,PTCH1
SNHG10,SCARNA13,ENSG00000247092,ENSG00000252481,Cancer,Liver cancer,positively-E,upregulation,lncRNA,snoRNA,SCARNA13,SNHG10,SNHG10,SCARNA13
SNHG10,MYB,ENSG00000247092,ENSG00000118513,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,MYB,SNHG10,SNHG10,MYB
ZFAS1,ZNFX1,ENSG00000177410,ENSG00000124201,Cancer,Head and neck cancer,negatively-E,upregulation,lncRNA,PCG,ZNFX1,ZFAS1,ZFAS1,ZNFX1
ZFAS1,miR-150-5p,ENSG00000177410,ENSG00000207782,Cancer,Head and neck cancer,negatively-F,upregulation,lncRNA,miRNA,miR-150-5p,ZFAS1,ZFAS1,miR-150-5p
RP11,ZEB1,ENSG00000105618,ENSG00000148516,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,ZEB1,RP11,RP11,ZEB1
LASP1-AS,LASP1,ENSG00000002834,ENSG00000002834,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,LASP1,LASP1-AS,LASP1-AS,LASP1
CACS15,ABCC1,,ENSG00000103222,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,ABCC1,CACS15,CACS15,ABCC1
PSTPIP1,miRNA-188-5p,ENSG00000140368,ENSG00000207768,Cancer,Gastric cancer,negatively-F,upregulation,lncRNA,miRNA,miRNA-188-5p,PSTPIP1,PSTPIP1,miRNA-188-5p
TOB1-AS1,NEU1,ENSG00000229980,ENSG00000234846,Cancer,Gastric cancer,positively-E,downregulation,lncRNA,PCG,NEU1,TOB1-AS1,TOB1-AS1,NEU1
NBDY,KRAS,ENSG00000204272,ENSG00000133703,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,KRAS,NBDY,NBDY,KRAS
NBDY,MYC,ENSG00000204272,ENSG00000136997,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,TF,MYC,NBDY,NBDY,MYC
NBDY,MYC,ENSG00000204272,ENSG00000136997,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,TF,MYC,NBDY,NBDY,MYC
REST,ITIH4-AS1,ENSG00000084093,ENSG00000239799,Cancer,Colorectal cancer,negatively-E,upregulation,TF,lncRNA,ITIH4-AS1,REST,REST,ITIH4-AS1
ITIH4-AS1,FUS,ENSG00000239799,ENSG00000089280,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,FUS,ITIH4-AS1,ITIH4-AS1,FUS
DNMT1,ADAMTS9-AS2,ENSG00000130816,ENSG00000241684,Cancer,Breast cancer,negatively-E,upregulation,PCG,lncRNA,ADAMTS9-AS2,DNMT1,DNMT1,ADAMTS9-AS2
MEG3,ALG9,ENSG00000214548,ENSG00000086848,Cancer,Leukemia,positively-E,downregulation,lncRNA,PCG,ALG9,MEG3,MEG3,ALG9
PVT1,SOX9,ENSG00000249859,ENSG00000125398,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,SOX9,PVT1,PVT1,SOX9
BLACAT1,PSEN1,ENSG00000281406,ENSG00000080815,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,PCG,PSEN1,BLACAT1,BLACAT1,PSEN1
HOXC-AS3,FOXM1,ENSG00000251151,ENSG00000111206,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,FOXM1,HOXC-AS3,HOXC-AS3,FOXM1
LINC00958,MYC,ENSG00000251381,ENSG00000136997,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,TF,MYC,LINC00958,LINC00958,MYC
HULC,APOBEC3B,ENSG00000251164,ENSG00000179750,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,PCG,APOBEC3B,HULC,HULC,APOBEC3B
OR3A4P,AGGF1,ENSG00000180068,ENSG00000164252,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,AGGF1,OR3A4P,OR3A4P,AGGF1
JPX,TWIST1,ENSG00000225470,ENSG00000122691,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,TWIST1,JPX,JPX,TWIST1
PAXIP1-DT,KIF14,ENSG00000273344,ENSG00000118193,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,KIF14,PAXIP1-DT,PAXIP1-DT,KIF14
BFAL1,RHEB,,ENSG00000106615,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,RHEB,BFAL1,BFAL1,RHEB
SP1,POU3F3,ENSG00000185591,ENSG00000198914,Cancer,Cervical cancer,positively-E,upregulation,PCG,lncRNA,POU3F3,SP1,SP1,POU3F3
POU3F3,FOXD1,ENSG00000198914,ENSG00000251493,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,FOXD1,POU3F3,POU3F3,FOXD1
SP1,CASC11,ENSG00000185591,ENSG00000249375,Cancer,Brain glioma,positively-E,upregulation,TF,lncRNA,CASC11,SP1,SP1,CASC11
CASC11,FOXK1,ENSG00000249375,ENSG00000164916,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,FOXK1,CASC11,CASC11,FOXK1
UNC5B-AS1,NDRG2,ENSG00000237512,ENSG00000165795,Cancer,Ovarian cancer,negatively-E,upregulation,lncRNA,PCG,NDRG2,UNC5B-AS1,UNC5B-AS1,NDRG2
NONHSAT113026,NFKB1,ENSG00000207587,ENSG00000109320,Cancer,Kidney cancer,negatively-E,downregulation,lncRNA,TF,NFKB1,NONHSAT113026,NONHSAT113026,NFKB1
NONHSAT113026,SNAI2,ENSG00000207587,ENSG00000019549,Cancer,Kidney cancer,negatively-E,downregulation,lncRNA,TF,SNAI2,NONHSAT113026,NONHSAT113026,SNAI2
LINC00511,CDKN1A,ENSG00000227036,ENSG00000124762,Cancer,Ovarian cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,LINC00511,LINC00511,CDKN1A
SP1,LINC00511,ENSG00000185591,ENSG00000227036,Cancer,Brain glioma,positively-E,upregulation,TF,lncRNA,LINC00511,SP1,SP1,LINC00511
LINC00511,CCND2,ENSG00000227036,ENSG00000118971,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,CCND2,LINC00511,LINC00511,CCND2
TALAM1,MALAT1,ENSG00000289740,ENSG00000251562,Cancer,Breast cancer,positively-F,upregulation,lncRNA,lncRNA,MALAT1,TALAM1,TALAM1,MALAT1
TUG1,DLX1,ENSG00000253352,ENSG00000144355,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,TF,DLX1,TUG1,TUG1,DLX1
MACC1-AS1,TGFB1,ENSG00000228598,ENSG00000105329,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,TGFB1,MACC1-AS1,MACC1-AS1,TGFB1
LINC01354,ATF1,ENSG00000231768,ENSG00000123268,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,ATF1,LINC01354,LINC01354,ATF1
LINC00520,USP39,ENSG00000258791,ENSG00000168883,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,PCG,USP39,LINC00520,LINC00520,USP39
E2F1,AP002754.2,ENSG00000101412,,Cancer,Colorectal cancer,positively-E,upregulation,TF,lncRNA,AP002754.2,E2F1,E2F1,AP002754.2
AP002754.2,RAPSN,,ENSG00000165917,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,RAPSN,AP002754.2,AP002754.2,RAPSN
LOXL1-AS1,USF1,ENSG00000261801,ENSG00000158773,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,TF,USF1,LOXL1-AS1,LOXL1-AS1,USF1
MINCR,ZEB1,ENSG00000253716,ENSG00000148516,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,TF,ZEB1,MINCR,MINCR,ZEB1
SNHG7,DKK1,ENSG00000233016,ENSG00000107984,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,DKK1,SNHG7,SNHG7,DKK1
SNHG7,EZH2,ENSG00000233016,ENSG00000106462,Cancer,Cervical cancer,negatively-F,upregulation,lncRNA,PCG,EZH2,SNHG7,SNHG7,EZH2
MYC,PVT1,ENSG00000136997,ENSG00000249859,Cancer,Cervical cancer,positively-E,upregulation,TF,lncRNA,PVT1,MYC,MYC,PVT1
PVT1,ECM1,ENSG00000249859,ENSG00000143369,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,ECM1,PVT1,PVT1,ECM1
SNHG7,MMP2,ENSG00000233016,ENSG00000087245,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MMP2,SNHG7,SNHG7,MMP2
SNHG7,MMP7,ENSG00000233016,ENSG00000137673,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MMP7,SNHG7,SNHG7,MMP7
SNHG7,MMP9,ENSG00000233016,ENSG00000100985,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MMP9,SNHG7,SNHG7,MMP9
HOTAIR,HK2,ENSG00000228630,ENSG00000159399,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,HK2,HOTAIR,HOTAIR,HK2
SNHG1,NOTCH1,ENSG00000255717,ENSG00000148400,Cancer,Gastric cancer,positively-E,downregulation,lncRNA,PCG,NOTCH1,SNHG1,SNHG1,NOTCH1
MACC1-AS1,SMAD2,ENSG00000228598,ENSG00000175387,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,TF,SMAD2,MACC1-AS1,MACC1-AS1,SMAD2
SMAD2,MACC1-AS1,ENSG00000175387,ENSG00000228598,Cancer,Nasopharynx carcinoma,positively-E,upregulation,TF,lncRNA,MACC1-AS1,SMAD2,SMAD2,MACC1-AS1
NKILA,miRNA-21,ENSG00000278709,ENSG00000284190,Cancer,Cervical cancer,negatively-F,downregulation,lncRNA,miRNA,miRNA-21,NKILA,NKILA,miRNA-21
GAS5,miR-21,ENSG00000234741,ENSG00000199004,Cancer,Gastric cancer,negatively-F,downregulation,lncRNA,miRNA,miR-21,GAS5,GAS5,miR-21
LINC00473,YAP1,ENSG00000223414,ENSG00000137693,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,YAP1,LINC00473,LINC00473,YAP1
LINC00473,TEAD1,ENSG00000223414,ENSG00000187079,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,TEAD1,LINC00473,LINC00473,TEAD1
DIO3OS,ALDOA,ENSG00000258498,ENSG00000149925,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,ALDOA,DIO3OS,DIO3OS,ALDOA
MALAT1,miR-101,ENSG00000251562,ENSG00000199065,Cancer,Colorectal cancer,negatively-F,upregulation,lncRNA,miRNA,miR-101,MALAT1,MALAT1,miR-101
FEZF1-AS1,NOTCH1,ENSG00000230316,ENSG00000148400,Cancer,Prostate cancer,positively-E,downregulation,lncRNA,PCG,NOTCH1,FEZF1-AS1,FEZF1-AS1,NOTCH1
FEZF1-AS1,CDKN1A,ENSG00000230316,ENSG00000124762,Cancer,Prostate cancer,positively-E,downregulation,lncRNA,PCG,CDKN1A,FEZF1-AS1,FEZF1-AS1,CDKN1A
FEZF1-AS1,HES1,ENSG00000230316,ENSG00000114315,Cancer,Prostate cancer,positively-E,downregulation,lncRNA,TF,HES1,FEZF1-AS1,FEZF1-AS1,HES1
PCAT1,miR-326,ENSG00000253438,ENSG00000199090,Cancer,Oesophageal cancer,negatively-F,upregulation,lncRNA,miRNA,miR-326,PCAT1,PCAT1,miR-326
LINC00511,BCL2,ENSG00000227036,ENSG00000171791,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,BCL2,LINC00511,LINC00511,BCL2
LINC00511,BAX,ENSG00000227036,ENSG00000087088,Cancer,Cervical cancer,negatively-E,upregulation,lncRNA,PCG,BAX,LINC00511,LINC00511,BAX
LINC00511,CASP3,ENSG00000227036,ENSG00000164305,Cancer,Cervical cancer,negatively-E,upregulation,lncRNA,PCG,CASP3,LINC00511,LINC00511,CASP3
LINC00511,MMP2,ENSG00000227036,ENSG00000087245,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,MMP2,LINC00511,LINC00511,MMP2
LINC00511,MMP9,ENSG00000227036,ENSG00000100985,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,MMP9,LINC00511,LINC00511,MMP9
LINC00511,MRP1,ENSG00000227036,ENSG00000113318,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,MRP1,LINC00511,LINC00511,MRP1
LINC00511,ABCB1,ENSG00000227036,ENSG00000085563,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,ABCB1,LINC00511,LINC00511,ABCB1
CASC11,SNAI1,ENSG00000249375,ENSG00000124216,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,TF,SNAI1,CASC11,CASC11,SNAI1
RP11-552M11.4,ATF1,ENSG00000243960,ENSG00000123268,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,ATF1,RP11-552M11.4,RP11-552M11.4,ATF1
MCM3AP-AS1,FOXA1,ENSG00000215424,ENSG00000129514,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,FOXA1,MCM3AP-AS1,MCM3AP-AS1,FOXA1
HOTTIP,miR-4301,ENSG00000243766,ENSG00000265140,Cancer,Nasopharynx carcinoma,negatively-F,upregulation,lncRNA,miRNA,miR-4301,HOTTIP,HOTTIP,miR-4301
DANCR,CDKN1A,ENSG00000226950,ENSG00000124762,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,DANCR,DANCR,CDKN1A
miR-7,XIST,,ENSG00000229807,Cancer,Breast cancer,negatively-E,,miRNA,lncRNA,XIST,miR-7,miR-7,XIST
ROR1-AS1,miR-375,ENSG00000223949,ENSG00000198973,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-375,ROR1-AS1,ROR1-AS1,miR-375
DLEU1,miR-146b-5p,ENSG00000176124,ENSG00000202569,Reproductive system disease,Ovarian disease,negatively-F,upregulation,lncRNA,miRNA,miR-146b-5p,DLEU1,DLEU1,miR-146b-5p
PVT1,BNIP3,ENSG00000249859,ENSG00000176171,Cancer,Gastric cancer,negatively-E,downregulation,lncRNA,PCG,BNIP3,PVT1,PVT1,BNIP3
NRSN2-AS1,PRKX,ENSG00000225377,ENSG00000183943,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,PRKX,NRSN2-AS1,NRSN2-AS1,PRKX
ZFAS1,TXNIP,ENSG00000177410,ENSG00000117289,Nervous system disease,Parkinson's disease,negatively-E,downregulation,lncRNA,PCG,TXNIP,ZFAS1,ZFAS1,TXNIP
ZFAS2,MIB1,,ENSG00000101752,Nervous system disease,Parkinson's disease,positively-E,downregulation,lncRNA,PCG,MIB1,ZFAS2,ZFAS2,MIB1
E7¦¤N,MALAT1,ENSG00000127481,ENSG00000251562,Cancer,Cervical cancer,positively-E,upregulation,PCG,lncRNA,MALAT1,E7¦¤N,E7¦¤N,MALAT1
SP1,MALAT1,ENSG00000185591,ENSG00000251562,Cancer,Cervical cancer,positively-E,upregulation,TF,lncRNA,MALAT1,SP1,SP1,MALAT1
E2F4,AGAP2-AS1,ENSG00000205250,ENSG00000255737,Cancer,Colorectal cancer,positively-E,upregulation,TF,lncRNA,AGAP2-AS1,E2F4,E2F4,AGAP2-AS1
AGAP2-AS1,CFL1,ENSG00000255737,ENSG00000172757,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,CFL1,AGAP2-AS1,AGAP2-AS1,CFL1
ENST00000609697,RASL12,ENSG00000272789,ENSG00000103710,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,RASL12,ENST00000609697,ENST00000609697,RASL12
HULC,MYH9,ENSG00000251164,ENSG00000100345,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,MYH9,HULC,HULC,MYH9
KCNQ1OT1,LMX1A,ENSG00000269821,ENSG00000162761,Cancer,Gastric cancer,positively-E,downregulation,lncRNA,TF,LMX1A,KCNQ1OT1,KCNQ1OT1,LMX1A
LINC01116,ATF1,ENSG00000163364,ENSG00000123268,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,ATF1,LINC01116,LINC01116,ATF1
circRNA_000543,PDGFRB,,ENSG00000113721,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,PCG,PDGFRB,circRNA_000543,circRNA_000543,PDGFRB
HULC,miR-9,ENSG00000251164,ENSG00000284447,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,miRNA,miR-9,HULC,HULC,miR-9
HULC,PPARA,ENSG00000251164,ENSG00000186951,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,PPARA,HULC,HULC,PPARA
HULC,ACSL1,ENSG00000251164,ENSG00000151726,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,ACSL1,HULC,HULC,ACSL1
DUXAP8,IGF1R,ENSG00000271672,ENSG00000140443,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,IGF1R,DUXAP8,DUXAP8,IGF1R
MEG3,MDK,ENSG00000214548,ENSG00000110492,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,MDK,MEG3,MEG3,MDK
FAM87A,PPM1H,ENSG00000182366,ENSG00000111110,Cancer,Brain glioma,positively-E,downregulation,lncRNA,PCG,PPM1H,FAM87A,FAM87A,PPM1H
HOTAIR,miR-34a,ENSG00000228630,ENSG00000284357,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,miRNA,miR-34a,HOTAIR,HOTAIR,miR-34a
PVTL5,SLC7A5,,ENSG00000103257,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,SLC7A5,PVTL5,PVTL5,SLC7A5
miR-101-3p,SNHG1,,ENSG00000255717,Cancer,Lung cancer,negatively-E,upregulation,miRNA,lncRNA,SNHG1,miR-101-3p,miR-101-3p,SNHG1
